ID_CLIENT|NOM_CLIENT|PREN_CLIENT|CD_POSTAL_CLIENT|VILLE_CLIENT|PAYS_CLIENT|REGION_CLIENT|CD_TYPE_CLIENT
EM-1406548|Erin|Niurka||Brême|Allemagne|Europe de l'Ouest|T001
ON-1871545|Odella|Diouhouba||Abbeville|France|Europe de l'Ouest|T002
VS-2182027|Vivek|Gohar||Zigong|Chine|Asie de l'Est|T001
CM-121157|Chad|Sutanya||Adelaide|Australie|Océanie|T001
AB-100601404|Adam|Travor|98198|Des Moines|États-Unis|Ouest des États-Unis|T003
AB-100601406|Adam|Armeil|19143|Philadelphia|États-Unis|Est des États-Unis|T003
JK-153257|Jason|Pasupathy||Perth|Australie|Océanie|T002
RP-1927045|Rachel|Fajou||Chelles|France|Europe de l'Ouest|T002
DW-1354078|Don|Efrem||Kuantan|Malaisie|Asie du Sud-Est|T001
AB-100601408|Adam|Melosi|22980|Waynesboro|États-Unis|Sud des États-Unis|T003
GM-1444037|Gary|Sabrin||Quito|Équateur|Amérique du Sud|T001
SV-2081558|Stuart|Holinirina||Nasik|Inde|Asie du Sud|T002
MM-1792027|Michael|Crescencia||Sanya|Chine|Asie de l'Est|T001
JK-1612059|Julie|Mauricettee||Palembang|Indonésie|Asie du Sud-Est|T003
EM-14200130|Evan|Nikky||Bangkok|Thaïlande|Asie du Sud-Est|T003
AB-100601402|Adam|Larius|46142|Greenwood|États-Unis|Centre des États-Unis|T003
PM-1894059|Paul|Gadelina||Tasikmalaya|Indonésie|Asie du Sud-Est|T001
AT-1043582|Alyssa|Marfil||Toluca|Mexique|Amérique centrale|T003
AB-1001527|Aaron|Audras||Wuhan|Chine|Asie de l'Est|T001
PV-1898518|Paul|Saeeh||Franca|Brésil|Amérique du Sud|T003
SB-2029064|Sean|Ventris||Treviso|Italie|Europe du Sud|T002
SM-10005116|Sally|Fabina||Hargeysa|Somalie|Afrique de l'Est|T001
KH-1633059|Katharine|Ballestero||Jakarta|Indonésie|Asie du Sud-Est|T002
MP-181757|Mike|Collier||Perth|Australie|Océanie|T003
LH-1702027|Lisa|Cresto||Anshan|Chine|Asie de l'Est|T001
CR-126257|Corey|Landrieux||Melbourne|Australie|Océanie|T003
NC-1862511|Noah|Guilloux||Dacca|Bangladesh|Asie du Sud|T002
GM-1468091|Greg|Boyanga||Dordrecht|Pays-Bas|Europe de l'Ouest|T001
RA-1994545|Ryan|Inesia||Montbrison|France|Europe de l'Ouest|T001
DB-1306048|Dave|Selhia||Gera|Allemagne|Europe de l'Ouest|T001
RF-197357|Roland|Erdenetuya||Sydney|Australie|Océanie|T001
JH-1582048|John|Attofoue||Berlin|Allemagne|Europe de l'Ouest|T001
DM-1295551|Dario|Nirosha||Mixco|Guatemala|Amérique centrale|T002
BE-1133582|Bill|Buy||Guadalajara|Mexique|Amérique centrale|T003
SO-2033527|Sean|Rhesus||Changchun|Chine|Asie de l'Est|T001
DK-12835120|Damala|Menaa||Madrid|Espagne|Europe du Sud|T002
LC-7050110|Liz|Magniba||Jeddah|Arabie saoudite|Asie de l'Ouest|T001
CG-125207|Claire|Genera||Darwin|Australie|Océanie|T001
HG-1502559|Hunter|Diwambaka||Medan|Indonésie|Asie du Sud-Est|T001
AD-1018059|Alan|Chathurika||Jakarta|Indonésie|Asie du Sud-Est|T003
BP-11155139|Becky|Rongdi||London|Royaume-Uni|Europe du Nord|T001
AA-10480130|Andrew|Hephzibah||Bangkok|Thaïlande|Asie du Sud-Est|T001
RL-196157|Rob|Mbiyavanga||Newcastle|Australie|Océanie|T001
SW-2024559|Scot|Mercedis||Surakarta|Indonésie|Asie du Sud-Est|T001
BW-1111027|Bart|Ekault||Pékin|Chine|Asie de l'Est|T002
YC-21895139|Yoseph|Rahhou||Watford|Royaume-Uni|Europe du Nord|T002
JM-1558082|Jill|Tsog||Tulancingo|Mexique|Amérique centrale|T001
MZ-733513|Maria|Sergeur||Brest|Biélorussie|Europe de l'Est|T003
JF-15295120|Jason|Lalaume||Madrid|Espagne|Europe du Sud|T001
DJ-3510137|Don|Sernin||Jytomyr|Ukraine|Europe de l'Est|T002
MF-1825045|Monica|Iradj||Illkirch-Graffenstaden|France|Europe de l'Ouest|T002
TC-2129545|Toby|Botreau||Villeneuve-sur-Lot|France|Europe de l'Ouest|T001
CP-1234058|Christine|Steevs||Lucknow|Inde|Asie du Sud|T002
EH-1412545|Eugene|Aziber||Vincennes|France|Europe de l'Ouest|T003
NC-183407|Nat|Mylonakis||Wollongong|Australie|Océanie|T001
JS-1603059|Joy|Llorente||Malang|Indonésie|Asie du Sud-Est|T001
AM-10360139|Alice|Treillage||Warrington|Royaume-Uni|Europe du Nord|T002
JF-1519021|Jamie|Jefflie||PhnomÊPenh|Cambodge|Asie du Sud-Est|T001
AB-100157|Aaron|Ninfa||Melbourne|Australie|Océanie|T001
JG-15160139|James|Trunnara||Widnes|Royaume-Uni|Europe du Nord|T001
AH-100751406|Adam|Hermita|43229|Columbus|États-Unis|Est des États-Unis|T002
AG-1033059|Alex|Dionny||Jambi|Indonésie|Asie du Sud-Est|T001
NF-1847548|Neil|Channara||Berlin|Allemagne|Europe de l'Ouest|T003
DR-129407|Daniel|Eheina||Sydney|Australie|Océanie|T003
NB-1865548|Nona|Cowell||Hambourg|Allemagne|Europe de l'Ouest|T002
NM-1844527|Nathan|Souhib||Xi'an|Chine|Asie de l'Est|T003
TA-213857|Tom|Massaw||Ballarat|Australie|Océanie|T003
SC-20380102|Shahid|Bergmance||Marikina|Philippines|Asie du Sud-Est|T001
PA-9060117|Pete|Nimet||Johannesburg|Afrique du Sud|Afrique australe|T003
RB-19570120|Rob|Kossoka||Bilbao|Espagne|Europe du Sud|T001
AH-100751404|Adam|Ghosia|92646|Huntington Beach|États-Unis|Ouest des États-Unis|T002
LH-1675036|Larry|Degliesposti||Saint-Domingue|République dominicaine|Caraïbes|T001
AH-100751402|Adam|Espoir|76017|Arlington|États-Unis|Centre des États-Unis|T002
KB-1658527|Ken|Ilhani||Datong|Chine|Asie de l'Est|T002
AH-1007523|Adam|Seracettin||Oakville|Canada|Canada|T002
MZ-751560|Mary|Lyvline||Shiraz|Iran|Asie du Sud|T002
DM-1334558|Denise|Gueorgieva||Varanasi|Inde|Asie du Sud|T002
CA-1196566|Carol|Fanlou||Fuji|Japon|Asie de l'Est|T002
SC-20305120|Sean|Belkaeem||Benidorm|Espagne|Europe du Sud|T001
MH-1811558|Mick|Draganna||Aligarh|Inde|Asie du Sud|T003
KS-163007|Karen|Lokaso||Sydney|Australie|Océanie|T002
BG-1174078|Bruce|Chouaa||KualaÊLumpur|Malaisie|Asie du Sud-Est|T001
CR-2625108|Corey|Hina||Astrakhan'|Russie|Europe de l'Est|T003
DK-1309027|Dave|Rithya||Pékin|Chine|Asie de l'Est|T001
JL-1583527|John|Jacqeline||Suzhou|Chine|Asie de l'Est|T001
AP-1072058|Anne|Podo||Nagpur|Inde|Asie du Sud|T003
CR-1282058|Cyra|Muguette||Patna|Inde|Asie du Sud|T003
BF-110807|Bart|Calbet||Newcastle|Australie|Océanie|T001
JM-15265102|Janet|Magitot||Marikina|Philippines|Asie du Sud-Est|T002
TW-2102545|Tamara|Anaik||Paris|France|Europe de l'Ouest|T003
RB-1933045|Randy|Bouhasmi||Wattrelos|France|Europe de l'Ouest|T001
AH-100751408|Adam|Weixin|30318|Atlanta|États-Unis|Sud des États-Unis|T002
AB-10060117|Adam|Batne||Cape Town|Afrique du Sud|Afrique australe|T003
JR-567038|Jim|Diakher||Cairo|Égypte|Afrique du Nord|T001
MD-1735028|Maribeth|Azriel||Medellín|Colombie|Amérique du Sud|T001
EB-13840139|Ellis|Ascentionie||Portsmouth|Royaume-Uni|Europe du Nord|T002
JL-58359|John|Chopard||Baku|Azerbaïdjan|Asie de l'Ouest|T001
EP-1391559|Emily|Hyppolite||Jakarta|Indonésie|Asie du Sud-Est|T001
MS-17770139|Maxwell|Annifrid||Edinburgh|Royaume-Uni|Europe du Nord|T001
CM-1265545|Corinna|Voladia||Laval|France|Europe de l'Ouest|T003
JC-610575|Julie|Giancatarina||Vilnius|Lituanie|Europe du Nord|T002
GB-145307|George|Gertrudis||Sydney|Australie|Océanie|T002
JH-161805|Justin|Sultan||BuenosÊAires|Argentine|Amérique du Sud|T001
MT-807038|Michelle|Elmont||Girga|Égypte|Afrique du Nord|T003
AB-1010558|Adrian|Bensaoucha||Kochi|Inde|Asie du Sud|T001
CV-280572|Cynthia|Josecarlos||Maseru|Lesotho|Afrique australe|T002
NH-1861092|Nicole|Ahossey||Wellington|Nouvelle-Zélande|Océanie|T002
HJ-1487527|Heather|Malcie||Yantai|Chine|Asie de l'Est|T003
JL-1517518|James|Carrick||Feira de Santana|Brésil|Amérique du Sud|T003
MY-1829593|Muhammed|Tonieva||Matagalpa|Nicaragua|Amérique centrale|T002
KC-1654093|Kelly|Norela||Managua|Nicaragua|Amérique centrale|T001
CS-1246093|Chuck|Mesud||Managua|Nicaragua|Amérique centrale|T001
HA-1492027|Helen|Calogero||Yuanjiang|Chine|Asie de l'Est|T001
MT-1781545|Meg|Trojan||Cournon-d'Auvergne|France|Europe de l'Ouest|T001
FW-1439545|Fred|Chrib||Bobigny|France|Europe de l'Ouest|T002
BH-1171048|Brosina|Jeevathas||Berlin|Allemagne|Europe de l'Ouest|T001
DK-1289559|Dana|Sentwali||Tasikmalaya|Indonésie|Asie du Sud-Est|T001
KD-1627018|Karen|Reches||São Paulo|Brésil|Amérique du Sud|T001
SC-208458|Sung|Concorde||Vienne|Autriche|Europe de l'Ouest|T001
CY-1274582|Craig|Khalile||Tijuana|Mexique|Amérique centrale|T002
HL-150407|Hunter|Alvana||Hobart|Australie|Océanie|T001
CT-1199566|Carol|Ocule||Hirakata|Japon|Asie de l'Est|T001
CC-12370139|Christopher|Myliane||Carlisle|Royaume-Uni|Europe du Nord|T001
GR-456072|Georgia|Phosta||Maseru|Lesotho|Afrique australe|T002
TT-2107058|Ted|Peyramaure||Agra|Inde|Asie du Sud|T001
PO-19195120|Phillina|Mennoubia||Granollers|Espagne|Europe du Sud|T003
ED-13885144|Emily|Radiologue||Ho Chi Minh City|Vietnam|Asie du Sud-Est|T003
AP-1091559|Arthur|Martiniene||Jakarta|Indonésie|Asie du Sud-Est|T001
TM-2149031|Tony|Brigeman||Camagüey|Cuba|Caraïbes|T001
AW-1084091|Anthony|Effryle||Amsterdam|Pays-Bas|Europe de l'Ouest|T001
SG-10605107|Speros|Perveen||Piatra-Neamt|Roumanie|Europe de l'Est|T001
BM-1178582|Bryan|Cuthert||Milpa Alta|Mexique|Amérique centrale|T001
DK-1337582|Dennis|Chamroen||Victoria|Mexique|Amérique centrale|T001
AS-100901406|Adam|Diagne|10011|New York City|États-Unis|Est des États-Unis|T001
AS-100901402|Adam|Licino|60653|Chicago|États-Unis|Centre des États-Unis|T001
SF-10200134|Sarah|Ludgar||Bursa|Turquie|Asie de l'Ouest|T001
JW-5220111|Jane|Sree||Dakar|Sénégal|Afrique de l'Ouest|T002
CC-1210082|Chad|Kyork||Mexico City|Mexique|Amérique centrale|T003
RD-1993092|Russell|Bouhadjer||Manukau City|Nouvelle-Zélande|Océanie|T001
BP-123022|Benjamin|Kulendran||Yaounde|Cameroun|Afrique centrale|T001
SA-20830139|Sue|Fisch||Newcastle upon Tyne|Royaume-Uni|Europe du Nord|T001
EM-1381058|Eleni|Dagui||Bhubaneswar|Inde|Asie du Sud|T002
CS-12175130|Charles|Ronalde||Bangkok|Thaïlande|Asie du Sud-Est|T002
JD-16060120|Julia|Bence||Santander|Espagne|Europe du Sud|T001
GH-1466527|Greg|Ganivet||Donghai|Chine|Asie de l'Est|T001
CM-1193527|Carlos|Kaochilang||Shizuishan|Chine|Asie de l'Est|T001
JB-1600093|Joy|Jenora||Le—n|Nicaragua|Amérique centrale|T001
RB-9465108|Rick|Palinka||Rybinsk|Russie|Europe de l'Est|T003
RB-1979518|Ross|Antennes||São Miguel dos Campos|Brésil|Amérique du Sud|T003
PO-191957|Phillina|Diiko||Wodonga|Australie|Océanie|T003
TS-212057|Thomas|Ansmane||Toowoomba|Australie|Océanie|T002
MV-8190117|Mike|Hajin||Port Elizabeth|Afrique du Sud|Afrique australe|T001
BD-11560139|Brendan|Marret||Mansfield|Royaume-Uni|Europe du Nord|T003
PS-1876059|Pamela|Dolorata||Bandung|Indonésie|Asie du Sud-Est|T001
FM-1421551|Filia|Bellucci||Amatitlán|Guatemala|Amérique centrale|T002
CA-1277558|Cynthia|Flausino||Satna|Inde|Asie du Sud|T001
CD-1279048|Cynthia|Valjean||Munich|Allemagne|Europe de l'Ouest|T003
NL-1831092|Nancy|Ebenie||Christchurch|Nouvelle-Zélande|Océanie|T003
TB-2105545|Ted|Lackchine||Limoges|France|Europe de l'Ouest|T001
KD-1649527|Keith|Mus||Guangzhou|Chine|Asie de l'Est|T002
EH-412557|Eugene|Deidamia||Gyula|Hongrie|Europe de l'Est|T003
KB-1660058|Ken|Tahsine||Surat|Inde|Asie du Sud|T002
MG-1769564|Maureen|Sellackandu||Turin|Italie|Europe du Sud|T001
VF-21715102|Vicky|Voangy||Manila|Philippines|Asie du Sud-Est|T003
BP-11290113|Beth|Soghomoni||Singapour|Singapour|Asie du Sud-Est|T001
HZ-49504|Henia|Phelod||Benguela|Angola|Afrique centrale|T001
EM-1382566|Elizabeth|Shaha||Himeji|Japon|Asie de l'Est|T002
AS-100901408|Adam|Mousseigne|22901|Charlottesville|États-Unis|Sud des États-Unis|T001
BS-1180059|Bryan|Olric||Bandung|Indonésie|Asie du Sud-Est|T003
DV-1346539|Dianna|Hakkim||SantaÊAna|El Salvador|Amérique centrale|T001
MB-173057|Maria|Nabillollah||Sydney|Australie|Océanie|T001
PC-19000120|Pauline|Sandrik||Barcelona|Espagne|Europe du Sud|T003
CA-1231045|Christine|Vinther||Montrouge|France|Europe de l'Ouest|T002
MB-1808545|Mick|Ospici||Chaumont|France|Europe de l'Ouest|T001
AS-100901404|Adam|Ludivine|92037|San Diego|États-Unis|Ouest des États-Unis|T001
DB-3660107|Duane|Colombi||Buzőu|Roumanie|Europe de l'Est|T001
BG-1174018|Bruce|Lars||Bayeux|Brésil|Amérique du Sud|T001
KB-1631578|Karl|Damaceno||KualaÊLumpur|Malaisie|Asie du Sud-Est|T001
PK-190757|Pete|Saim||Townsville|Australie|Océanie|T001
CS-121757|Charles|Abdelhazize||Canberra|Australie|Océanie|T002
AF-1088545|Art|Eliac||Corbeil-Essonnes|France|Europe de l'Ouest|T001
SJ-2050045|Shirley|Lonica||Villeurbanne|France|Europe de l'Ouest|T001
DM-1295545|Dario|Lali||Lannion|France|Europe de l'Ouest|T002
CC-1261048|Corey|Ideale||Cologne|Allemagne|Europe de l'Ouest|T002
BE-114557|Brad|Channes||Brisbane|Australie|Océanie|T003
TG-2164014|Trudy|Desruisseaux||Ghent|Belgique|Europe de l'Ouest|T001
VM-2168545|Valerie|Justilia||Evry|France|Europe de l'Ouest|T003
SC-2069539|Steve|Abit||Soyapango|El Salvador|Amérique centrale|T002
SN-2056097|Skye|Logbaji||Lahore|Pakistan|Asie du Sud|T003
CD-122807|Christina|Delamain||Adelaide|Australie|Océanie|T001
CC-1210045|Chad|Bassou||Reims|France|Europe de l'Ouest|T003
BG-1103544|Barry|Jehanic||Espoo|Finlande|Europe du Nord|T001
CC-125507|Clay|Nephi||Broken Hill|Australie|Océanie|T001
AB-101057|Adrian|Riccys||Canberra|Australie|Océanie|T001
SV-2078559|Stewart|Mayanick||Surabaya|Indonésie|Asie du Sud-Est|T001
HW-1493545|Helen|Adikatou||Mulhouse|France|Europe de l'Ouest|T002
AS-1028558|Alejandro|Vignol||Jammu|Inde|Asie du Sud|T002
LD-1685545|Lela|Weechan||Blois|France|Europe de l'Ouest|T002
NS-1850528|Neola|Annunciate||Cartagena|Colombie|Amérique du Sud|T001
CM-1271582|Craig|Sahied||Cancœn|Mexique|Amérique centrale|T002
VG-2180527|Vivek|Mandora||Jiangmen|Chine|Asie de l'Est|T002
JD-606049|Julia|Fulvien||Kumasi|Ghana|Afrique de l'Ouest|T001
MG-17680144|Maureen|Vaimitti||Ho Chi Minh City|Vietnam|Asie du Sud-Est|T003
CD-1228058|Christina|Cleilson||Amritsar|Inde|Asie du Sud|T001
DB-13210139|Dean|Alyona||Colchester|Royaume-Uni|Europe du Nord|T001
CS-118608|Cari|Anaree||Vienne|Autriche|Europe de l'Ouest|T001
AF-1088558|Art|Philomon||Solapur|Inde|Asie du Sud|T001
BN-11470130|Brad|Jankey||Bangkok|Thaïlande|Asie du Sud-Est|T002
GG-1465045|Greg|Mourah||Bonneuil-sur-Marne|France|Europe de l'Ouest|T002
BS-166560|Brian|Gunthilde||Yazd|Iran|Asie du Sud|T001
AC-1045058|Amy|Thoufike||Jamshedpur|Inde|Asie du Sud|T001
CK-1220564|Chloris|Erly||Naples|Italie|Europe du Sud|T001
JD-16150139|Justin|Nisrine||London|Royaume-Uni|Europe du Nord|T002
CC-2550137|Clay|Mateao||Kharkiv|Ukraine|Europe de l'Est|T001
MS-17830139|Melanie|Ruobing||London|Royaume-Uni|Europe du Nord|T001
GT-14710120|Greg|Rejeann||Barcelona|Espagne|Europe du Sud|T001
CL-1270058|Craig|Selvaradjou||Kulti|Inde|Asie du Sud|T003
MM-1792045|Michael|Davide||Muret|France|Europe de l'Ouest|T001
CM-1216093|Charles|Marokena||Estelí|Nicaragua|Amérique centrale|T001
DB-1306027|Dave|Roume||Yangzhou|Chine|Asie de l'Est|T001
JW-522087|Jane|Cosma||Maputo|Mozambique|Afrique de l'Est|T002
BN-1147082|Brad|Hebergement||San Luis Potosí|Mexique|Amérique centrale|T002
JC-157757|John|Mahaman||Melbourne|Australie|Océanie|T001
HL-1504093|Hunter|Belbeze||Managua|Nicaragua|Amérique centrale|T001
LH-1690018|Lena|Ebe||Salvador|Brésil|Amérique du Sud|T001
DV-1304559|Darrin|Karunaivel||Pekanbaru|Indonésie|Asie du Sud-Est|T002
BT-1153058|Bradley|Arwyn||Pune|Inde|Asie du Sud|T003
BM-165060|Brian|Diwesha||Mashhad|Iran|Asie du Sud|T002
MG-1820558|Mitch|Serpin||Panihati|Inde|Asie du Sud|T002
FC-1424528|Frank|Carmene||Piedecuesta|Colombie|Amérique du Sud|T003
TT-2122051|Thomas|Audoui||Mixco|Guatemala|Amérique centrale|T001
CY-1274558|Craig|Doung||Bangalore|Inde|Asie du Sud|T002
SJ-2021582|Sarah|Harimboahangy||Hermosillo|Mexique|Amérique centrale|T001
PB-1880593|Patrick|Abdoulmagid||Managua|Nicaragua|Amérique centrale|T003
RW-1969027|Robert|Dilorom||Zhangzhou|Chine|Asie de l'Est|T001
DB-3360146|Dennis|Talbourdet||Kitwe|Zambie|Afrique de l'Est|T003
DK-1315048|David|Selene||Potsdam|Allemagne|Europe de l'Ouest|T002
RW-9540117|Rick|Piere||Cape Town|Afrique du Sud|Afrique australe|T002
PS-1904527|Penelope|Rasangika||Jieyang|Chine|Asie de l'Est|T003
AB-101051402|Adrian|Giorgiana|61701|Bloomington|États-Unis|Centre des États-Unis|T001
MO-1780066|Meg|Corlino||Hamamatsu|Japon|Asie de l'Est|T003
NF-1847527|Neil|Ernieau||Zhangjiakou|Chine|Asie de l'Est|T003
MR-1754558|Mathew|Bangard||Jodhpur|Inde|Asie du Sud|T003
CB-1241548|Christy|Sithiphone||Weimar|Allemagne|Europe de l'Ouest|T001
LC-1705092|Liz|Dhiquirati||Auckland|Nouvelle-Zélande|Océanie|T001
RA-1988527|Ruben|Sandini||Wuhan|Chine|Asie de l'Est|T002
MG-814533|Mike|Pallaruello||Lubumbashi|Congo (République démocratique du)|Afrique centrale|T001
AB-101051408|Adrian|Vassilev|42420|Henderson|États-Unis|Sud des États-Unis|T001
EM-1396058|Eric|Mamoro||Nagpur|Inde|Asie du Sud|T001
